Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter active	AUC - nonpromoter active	AUC - promoter inactive	AUC - nonpromoter inactive
1	train	1.22, 1.22, 1.61, 1.61	0.79, 0.22, 0.00, 0.00	0.21, 0.79, 1.00, 1.00	0.50, 0.51, 0.50, 0.50	0.50, 0.50, 0.50, 0.51	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
1	valid	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.64, 0.53, 0.46, 0.45	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
2	train	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
2	valid	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
3	train	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
3	valid	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
4	train	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
4	valid	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
5	train	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
5	valid	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
6	train	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
6	valid	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
7	train	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
7	valid	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
8	train	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
8	valid	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
9	train	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
9	valid	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.51, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
10	train	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
10	valid	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.51, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
11	train	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
11	valid	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.51, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
12	train	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.51, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
12	valid	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.51, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
13	train	1.54, 1.04, 1.54, 1.54	0.00, 1.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.51, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
