Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter active	AUC - nonpromoter active	AUC - promoter inactive	AUC - nonpromoter inactive
1	train	1.16, 1.31, 1.57, 1.62	0.93, 0.07, 0.00, 0.00	0.07, 0.94, 1.00, 1.00	0.51, 0.51, 0.51, 0.50	0.50, 0.50, 0.50, 0.51	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
1	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
2	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
2	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
3	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
3	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
4	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
4	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
5	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
5	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
6	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
6	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
7	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
