Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter active	AUC - nonpromoter active	AUC - promoter inactive	AUC - nonpromoter inactive
50	valid	1.08, 1.41, 1.41, 1.19	0.99, 0.00, 0.00, 0.67	0.31, 1.00, 1.00, 0.92	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.81, 0.80, 0.82
51	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.90	0.33, 1.00, 1.00, 0.97	0.95, 0.95, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.95
51	valid	1.08, 1.42, 1.42, 1.17	0.98, 0.00, 0.00, 0.73	0.35, 1.00, 1.00, 0.90	0.94, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.83, 0.81, 0.84
52	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.90	0.33, 1.00, 1.00, 0.97	0.95, 0.95, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.95
52	valid	1.10, 1.41, 1.41, 1.17	0.97, 0.00, 0.00, 0.71	0.33, 1.00, 1.00, 0.90	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.82, 0.81, 0.83
53	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.91	0.33, 1.00, 1.00, 0.97	0.95, 0.94, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.95
53	valid	1.09, 1.41, 1.42, 1.16	0.97, 0.00, 0.00, 0.75	0.37, 1.00, 1.00, 0.87	0.93, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.83, 0.81, 0.84
54	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.91	0.33, 1.00, 1.00, 0.97	0.95, 0.95, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.95
54	valid	1.09, 1.41, 1.41, 1.19	0.99, 0.00, 0.00, 0.64	0.28, 1.00, 1.00, 0.94	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.81, 0.80, 0.79, 0.80
55	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.91	0.32, 1.00, 1.00, 0.97	0.95, 0.95, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.95
55	valid	1.09, 1.41, 1.41, 1.18	0.98, 0.00, 0.00, 0.71	0.33, 1.00, 1.00, 0.91	0.93, 0.91, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.82, 0.80, 0.83
56	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.91	0.33, 1.00, 1.00, 0.97	0.95, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.95
56	valid	1.12, 1.41, 1.41, 1.16	0.96, 0.00, 0.00, 0.75	0.38, 1.00, 1.00, 0.87	0.91, 0.90, 0.91, 0.92	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.83, 0.81, 0.84
57	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.91	0.33, 1.00, 1.00, 0.97	0.95, 0.95, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.95
57	valid	1.09, 1.41, 1.41, 1.17	0.98, 0.00, 0.00, 0.70	0.34, 1.00, 1.00, 0.89	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.82, 0.80, 0.82
58	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.91	0.33, 1.00, 1.00, 0.97	0.95, 0.95, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.95
58	valid	1.09, 1.42, 1.42, 1.16	0.98, 0.00, 0.00, 0.73	0.36, 1.00, 1.00, 0.89	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.83, 0.81, 0.83
59	train	1.08, 1.40, 1.40, 1.08	0.99, 0.00, 0.00, 0.91	0.33, 1.00, 1.00, 0.97	0.95, 0.94, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.95
59	valid	1.08, 1.41, 1.41, 1.19	0.98, 0.00, 0.00, 0.68	0.30, 1.00, 1.00, 0.93	0.94, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.83, 0.82, 0.80, 0.82
60	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.91	0.33, 1.00, 1.00, 0.97	0.95, 0.95, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.95
60	valid	1.09, 1.41, 1.41, 1.20	0.99, 0.00, 0.00, 0.63	0.27, 1.00, 1.00, 0.94	0.93, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.81, 0.80, 0.78, 0.80
61	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.91	0.32, 1.00, 1.00, 0.97	0.95, 0.95, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.95
61	valid	1.09, 1.41, 1.41, 1.19	0.98, 0.00, 0.00, 0.65	0.28, 1.00, 1.00, 0.94	0.93, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.82, 0.81, 0.79, 0.81
62	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.91	0.32, 1.00, 1.00, 0.98	0.95, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.95
62	valid	1.09, 1.42, 1.42, 1.15	0.97, 0.00, 0.00, 0.75	0.39, 1.00, 1.00, 0.87	0.93, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.87, 0.84, 0.81, 0.84
63	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.91	0.32, 1.00, 1.00, 0.97	0.95, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.95
63	valid	1.08, 1.42, 1.42, 1.17	0.98, 0.00, 0.00, 0.70	0.34, 1.00, 1.00, 0.90	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.82, 0.80, 0.82
64	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.91	0.33, 1.00, 1.00, 0.97	0.95, 0.95, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.95, 0.95, 0.95
64	valid	1.11, 1.41, 1.41, 1.17	0.98, 0.00, 0.00, 0.71	0.33, 1.00, 1.00, 0.91	0.91, 0.90, 0.91, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.82, 0.80, 0.82
65	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.91	0.32, 1.00, 1.00, 0.98	0.95, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.95, 0.95, 0.95
65	valid	1.08, 1.41, 1.41, 1.18	0.98, 0.00, 0.00, 0.68	0.30, 1.00, 1.00, 0.93	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.81, 0.80, 0.82
66	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.91	0.32, 1.00, 1.00, 0.97	0.95, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.95, 0.95, 0.95
66	valid	1.09, 1.41, 1.41, 1.20	0.98, 0.00, 0.00, 0.64	0.28, 1.00, 1.00, 0.93	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.81, 0.79, 0.78, 0.80
67	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.91	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.95, 0.95, 0.95
67	valid	1.11, 1.41, 1.41, 1.17	0.96, 0.00, 0.00, 0.73	0.36, 1.00, 1.00, 0.88	0.92, 0.90, 0.91, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.83, 0.81, 0.83
68	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.91	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.95, 0.95, 0.95
68	valid	1.09, 1.41, 1.42, 1.18	0.98, 0.00, 0.00, 0.70	0.34, 1.00, 1.00, 0.90	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.82, 0.79, 0.82
69	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.92	0.33, 1.00, 1.00, 0.97	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.95, 0.95, 0.95
69	valid	1.10, 1.41, 1.41, 1.17	0.98, 0.00, 0.00, 0.70	0.34, 1.00, 1.00, 0.90	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.82, 0.79, 0.82
70	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.91	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.95, 0.95, 0.95
70	valid	1.09, 1.41, 1.41, 1.20	0.98, 0.00, 0.00, 0.65	0.29, 1.00, 1.00, 0.93	0.93, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.82, 0.80, 0.78, 0.80
71	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.95, 0.95, 0.95
71	valid	1.09, 1.41, 1.41, 1.17	0.98, 0.00, 0.00, 0.71	0.34, 1.00, 1.00, 0.90	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.82, 0.80, 0.83
72	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.95, 0.95, 0.95
72	valid	1.08, 1.41, 1.41, 1.21	0.99, 0.00, 0.00, 0.61	0.26, 1.00, 1.00, 0.95	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.80, 0.78, 0.77, 0.79
73	train	1.08, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.95, 0.95, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.95, 0.95, 0.95
73	valid	1.12, 1.41, 1.41, 1.17	0.97, 0.00, 0.00, 0.72	0.33, 1.00, 1.00, 0.90	0.91, 0.89, 0.90, 0.92	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.83, 0.81, 0.83
74	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.95, 0.95, 0.95
74	valid	1.09, 1.41, 1.41, 1.17	0.98, 0.00, 0.00, 0.71	0.32, 1.00, 1.00, 0.91	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.82, 0.81, 0.83
75	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.33, 1.00, 1.00, 0.97	0.96, 0.95, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.95
75	valid	1.09, 1.41, 1.41, 1.17	0.98, 0.00, 0.00, 0.71	0.33, 1.00, 1.00, 0.90	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.82, 0.80, 0.82
76	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
76	valid	1.09, 1.41, 1.41, 1.18	0.98, 0.00, 0.00, 0.67	0.30, 1.00, 1.00, 0.92	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.83, 0.81, 0.80, 0.81
77	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.95, 0.95, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.95
77	valid	1.09, 1.41, 1.41, 1.19	0.98, 0.00, 0.00, 0.66	0.29, 1.00, 1.00, 0.93	0.93, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.82, 0.80, 0.79, 0.81
78	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
78	valid	1.09, 1.41, 1.41, 1.20	0.99, 0.00, 0.00, 0.64	0.27, 1.00, 1.00, 0.94	0.93, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.81, 0.80, 0.79, 0.80
79	train	1.07, 1.39, 1.39, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
79	valid	1.11, 1.41, 1.41, 1.18	0.98, 0.00, 0.00, 0.69	0.32, 1.00, 1.00, 0.91	0.91, 0.90, 0.91, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.81, 0.80, 0.82
80	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.95, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
80	valid	1.10, 1.41, 1.41, 1.18	0.98, 0.00, 0.00, 0.68	0.31, 1.00, 1.00, 0.92	0.92, 0.91, 0.92, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.83, 0.81, 0.79, 0.81
81	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
81	valid	1.08, 1.42, 1.41, 1.20	0.99, 0.00, 0.00, 0.65	0.28, 1.00, 1.00, 0.94	0.94, 0.92, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.82, 0.80, 0.79, 0.81
82	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
82	valid	1.13, 1.41, 1.42, 1.14	0.96, 0.00, 0.00, 0.78	0.43, 1.00, 1.00, 0.83	0.89, 0.88, 0.89, 0.91	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.88, 0.84, 0.82, 0.85
83	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
83	valid	1.07, 1.43, 1.42, 1.21	0.99, 0.00, 0.00, 0.61	0.27, 1.00, 1.00, 0.94	0.94, 0.93, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.81, 0.79, 0.78, 0.79
84	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
84	valid	1.13, 1.41, 1.42, 1.14	0.95, 0.00, 0.00, 0.80	0.44, 1.00, 1.00, 0.82	0.90, 0.89, 0.90, 0.91	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.89, 0.84, 0.83, 0.86
85	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
85	valid	1.09, 1.41, 1.41, 1.17	0.98, 0.00, 0.00, 0.70	0.33, 1.00, 1.00, 0.90	0.93, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.82, 0.81, 0.83
86	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
86	valid	1.11, 1.41, 1.41, 1.17	0.98, 0.00, 0.00, 0.73	0.35, 1.00, 1.00, 0.90	0.91, 0.90, 0.91, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.83, 0.81, 0.84
87	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
87	valid	1.09, 1.42, 1.42, 1.15	0.97, 0.00, 0.00, 0.78	0.42, 1.00, 1.00, 0.84	0.93, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.88, 0.84, 0.82, 0.85
88	train	1.07, 1.39, 1.39, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
88	valid	1.08, 1.42, 1.41, 1.19	0.99, 0.00, 0.00, 0.64	0.29, 1.00, 1.00, 0.93	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.82, 0.80, 0.78, 0.80
89	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
89	valid	1.18, 1.40, 1.40, 1.19	0.98, 0.00, 0.00, 0.66	0.29, 1.00, 1.00, 0.93	0.85, 0.84, 0.85, 0.86	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.82, 0.80, 0.79, 0.81
90	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
90	valid	1.08, 1.41, 1.41, 1.19	0.99, 0.00, 0.00, 0.65	0.30, 1.00, 1.00, 0.92	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.82, 0.80, 0.78, 0.80
91	train	1.07, 1.39, 1.39, 1.07	1.00, 0.00, 0.00, 0.92	0.32, 1.00, 1.00, 0.98	0.96, 0.96, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
91	valid	1.08, 1.42, 1.42, 1.20	0.99, 0.00, 0.00, 0.66	0.29, 1.00, 1.00, 0.93	0.93, 0.91, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.82, 0.80, 0.79, 0.81
92	train	1.07, 1.39, 1.40, 1.07	1.00, 0.00, 0.00, 0.93	0.32, 1.00, 1.00, 0.98	0.96, 0.96, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
92	valid	1.08, 1.41, 1.41, 1.19	0.99, 0.00, 0.00, 0.65	0.29, 1.00, 1.00, 0.93	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.82, 0.80, 0.78, 0.80
93	train	1.07, 1.39, 1.40, 1.07	1.00, 0.00, 0.00, 0.93	0.32, 1.00, 1.00, 0.98	0.96, 0.96, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
93	valid	1.17, 1.40, 1.41, 1.18	0.97, 0.00, 0.00, 0.69	0.33, 1.00, 1.00, 0.90	0.87, 0.86, 0.86, 0.87	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.83, 0.81, 0.79, 0.81
94	train	1.07, 1.39, 1.39, 1.07	1.00, 0.00, 0.00, 0.93	0.32, 1.00, 1.00, 0.99	0.96, 0.96, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
94	valid	1.16, 1.40, 1.40, 1.18	0.98, 0.00, 0.00, 0.70	0.32, 1.00, 1.00, 0.91	0.88, 0.87, 0.88, 0.89	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.82, 0.80, 0.82
95	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.93	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.95, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
95	valid	1.07, 1.42, 1.41, 1.19	0.99, 0.00, 0.00, 0.65	0.28, 1.00, 1.00, 0.94	0.94, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.82, 0.81, 0.80, 0.81
96	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.93	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.95, 0.96
96	valid	1.09, 1.41, 1.41, 1.19	0.98, 0.00, 0.00, 0.67	0.30, 1.00, 1.00, 0.92	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.83, 0.81, 0.79, 0.81
97	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.93	0.33, 1.00, 1.00, 0.98	0.96, 0.96, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.96, 0.96
97	valid	1.12, 1.41, 1.42, 1.16	0.97, 0.00, 0.00, 0.75	0.39, 1.00, 1.00, 0.86	0.91, 0.90, 0.91, 0.92	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.83, 0.81, 0.84
98	train	1.07, 1.40, 1.40, 1.07	1.00, 0.00, 0.00, 0.93	0.32, 1.00, 1.00, 0.98	0.95, 0.95, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.96, 0.96
98	valid	1.09, 1.41, 1.41, 1.18	0.98, 0.00, 0.00, 0.68	0.30, 1.00, 1.00, 0.92	0.93, 0.92, 0.93, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.83, 0.81, 0.80, 0.82
99	train	1.07, 1.40, 1.39, 1.07	1.00, 0.00, 0.00, 0.93	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.96, 0.96
99	valid	1.08, 1.42, 1.42, 1.17	0.98, 0.00, 0.00, 0.71	0.34, 1.00, 1.00, 0.90	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.82, 0.80, 0.83
100	train	1.07, 1.39, 1.39, 1.07	1.00, 0.00, 0.00, 0.93	0.32, 1.00, 1.00, 0.98	0.96, 0.95, 0.96, 0.97	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.96, 0.96, 0.96, 0.96
100	valid	1.09, 1.41, 1.41, 1.20	0.99, 0.00, 0.00, 0.65	0.29, 1.00, 1.00, 0.93	0.93, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.82, 0.80, 0.78, 0.80
