Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter active	AUC - nonpromoter active	AUC - promoter inactive	AUC - nonpromoter inactive
12	train	1.08, 1.41, 1.41, 1.14	0.98, 0.00, 0.00, 0.79	0.38, 1.00, 1.00, 0.88	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.89, 0.86, 0.84, 0.87
12	valid	1.09, 1.42, 1.42, 1.17	0.97, 0.00, 0.00, 0.73	0.38, 1.00, 1.00, 0.87	0.92, 0.90, 0.92, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.82, 0.80, 0.83
13	train	1.08, 1.41, 1.41, 1.13	0.98, 0.00, 0.00, 0.81	0.39, 1.00, 1.00, 0.87	0.94, 0.93, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.90, 0.87, 0.85, 0.87
13	valid	1.09, 1.43, 1.43, 1.14	0.97, 0.00, 0.00, 0.79	0.47, 1.00, 1.00, 0.80	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.89, 0.83, 0.81, 0.85
14	train	1.08, 1.41, 1.41, 1.13	0.99, 0.00, 0.00, 0.81	0.38, 1.00, 1.00, 0.88	0.94, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.90, 0.87, 0.85, 0.88
14	valid	1.07, 1.42, 1.42, 1.19	0.98, 0.00, 0.00, 0.69	0.33, 1.00, 1.00, 0.90	0.94, 0.92, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.81, 0.79, 0.82
15	train	1.08, 1.41, 1.41, 1.13	0.99, 0.00, 0.00, 0.81	0.37, 1.00, 1.00, 0.89	0.94, 0.93, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.90, 0.88, 0.86, 0.88
15	valid	1.07, 1.43, 1.43, 1.17	0.98, 0.00, 0.00, 0.73	0.39, 1.00, 1.00, 0.86	0.94, 0.92, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.87, 0.83, 0.80, 0.83
16	train	1.08, 1.41, 1.41, 1.12	0.99, 0.00, 0.00, 0.82	0.38, 1.00, 1.00, 0.89	0.94, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.91, 0.89, 0.87, 0.89
16	valid	1.09, 1.41, 1.42, 1.18	0.97, 0.00, 0.00, 0.72	0.37, 1.00, 1.00, 0.87	0.92, 0.91, 0.92, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.82, 0.79, 0.82
17	train	1.08, 1.41, 1.41, 1.12	0.99, 0.00, 0.00, 0.83	0.37, 1.00, 1.00, 0.89	0.94, 0.93, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.91, 0.89, 0.87, 0.89
17	valid	1.08, 1.42, 1.42, 1.17	0.97, 0.00, 0.00, 0.73	0.36, 1.00, 1.00, 0.88	0.93, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.83, 0.81, 0.84
18	train	1.08, 1.41, 1.41, 1.12	0.99, 0.00, 0.00, 0.83	0.37, 1.00, 1.00, 0.90	0.94, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.91, 0.89, 0.87, 0.89
18	valid	1.08, 1.42, 1.42, 1.17	0.97, 0.00, 0.00, 0.72	0.37, 1.00, 1.00, 0.88	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.82, 0.80, 0.83
19	train	1.08, 1.41, 1.41, 1.12	0.99, 0.00, 0.00, 0.84	0.37, 1.00, 1.00, 0.90	0.94, 0.93, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.92, 0.90, 0.88, 0.90
19	valid	1.09, 1.42, 1.42, 1.16	0.97, 0.00, 0.00, 0.77	0.42, 1.00, 1.00, 0.84	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.88, 0.84, 0.80, 0.84
20	train	1.08, 1.41, 1.41, 1.11	0.99, 0.00, 0.00, 0.84	0.36, 1.00, 1.00, 0.91	0.94, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.92, 0.90, 0.89, 0.90
20	valid	1.09, 1.41, 1.41, 1.20	0.98, 0.00, 0.00, 0.67	0.31, 1.00, 1.00, 0.92	0.93, 0.91, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.83, 0.81, 0.78, 0.81
21	train	1.08, 1.40, 1.41, 1.11	0.99, 0.00, 0.00, 0.85	0.37, 1.00, 1.00, 0.90	0.94, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.92, 0.91, 0.89, 0.91
21	valid	1.09, 1.41, 1.41, 1.18	0.98, 0.00, 0.00, 0.72	0.35, 1.00, 1.00, 0.89	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.83, 0.80, 0.83
22	train	1.08, 1.40, 1.41, 1.11	0.99, 0.00, 0.00, 0.85	0.36, 1.00, 1.00, 0.91	0.94, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.92, 0.91, 0.89, 0.91
22	valid	1.09, 1.41, 1.41, 1.19	0.99, 0.00, 0.00, 0.69	0.31, 1.00, 1.00, 0.92	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.81, 0.80, 0.82
23	train	1.08, 1.40, 1.41, 1.11	0.99, 0.00, 0.00, 0.86	0.36, 1.00, 1.00, 0.91	0.94, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.93, 0.91, 0.90, 0.91
23	valid	1.08, 1.42, 1.42, 1.18	0.98, 0.00, 0.00, 0.72	0.34, 1.00, 1.00, 0.90	0.93, 0.91, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.83, 0.80, 0.83
24	train	1.08, 1.40, 1.41, 1.10	0.99, 0.00, 0.00, 0.86	0.36, 1.00, 1.00, 0.92	0.94, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.93, 0.92, 0.90, 0.91
24	valid	1.08, 1.42, 1.42, 1.17	0.98, 0.00, 0.00, 0.72	0.35, 1.00, 1.00, 0.89	0.93, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.83, 0.81, 0.83
25	train	1.08, 1.40, 1.41, 1.10	0.99, 0.00, 0.00, 0.87	0.36, 1.00, 1.00, 0.92	0.94, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.93, 0.92, 0.91, 0.92
25	valid	1.13, 1.41, 1.42, 1.15	0.95, 0.00, 0.00, 0.78	0.42, 1.00, 1.00, 0.83	0.90, 0.88, 0.90, 0.91	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.87, 0.84, 0.81, 0.84
26	train	1.08, 1.40, 1.40, 1.10	0.99, 0.00, 0.00, 0.86	0.35, 1.00, 1.00, 0.93	0.94, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.93, 0.92, 0.90, 0.92
26	valid	1.09, 1.41, 1.41, 1.18	0.98, 0.00, 0.00, 0.70	0.33, 1.00, 1.00, 0.91	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.82, 0.79, 0.82
27	train	1.08, 1.40, 1.40, 1.10	0.99, 0.00, 0.00, 0.86	0.34, 1.00, 1.00, 0.94	0.94, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.93, 0.92, 0.91, 0.92
27	valid	1.09, 1.41, 1.41, 1.18	0.98, 0.00, 0.00, 0.71	0.34, 1.00, 1.00, 0.90	0.93, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.83, 0.80, 0.83
28	train	1.08, 1.40, 1.40, 1.10	0.99, 0.00, 0.00, 0.87	0.35, 1.00, 1.00, 0.94	0.94, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.93, 0.93, 0.91, 0.92
